subjid,community,screen,touchscreen,household,children,younger_children,clickscaledx,clickscaledy,targetx,targety,targetwidth,targetheight,targetcenterx,targetcentery,clickdistfromtargetcenterx,clickdistfromtargetcentery,clickdistfromtargetbboxy,trialnr,agent,trialtype,targetposition,eyeradius,eyecenterleftx,eyecenterlefty,pupilfinalleftx,pupilfinallefty,eyecenterrightx,eyecenterrighty,pupilfinalrightx,pupilfinalrighty,targetcentralityx,centralitybias,agecentered
H0000001,hai||om,0,0,9,5,1,849.33331298828125,214.66668701171875,1258.1458704286204,233.34295654296875,160.00592041015625,213.34295654296875,1338.1488306336985,126.67147827148438,-488.81551764541723,87.995208740234375,-0,5,male03,test,8,27.99,901.32,844.52,908.5613798860392,832.6201127170868,1021.56,843.97,1027.1846949069,831.2260717514341,378.1488306336985,488.81551764541723,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,729.33331298828125,217.33331298828125,178.96880625267656,233.34295654296875,160.00592041015625,213.34295654296875,258.9717664577547,126.67147827148438,470.36154653052654,90.661834716796875,-0,6,female03,test,2,25.57,907.52,809.11,898.7505731707304,799.8823213598372,1017.35,808.6,1007.8840688201203,800.0882994121171,701.0282335422453,470.36154653052654,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1361.3333740234375,217.33331298828125,1211.2426360867935,233.34295654296875,160.00592041015625,213.34295654296875,1291.2455962918716,126.67147827148438,70.0877777315659,90.661834716796875,-0,7,male02,test,7,27.99,901.97,846.5,908.5963114550564,834.2469637844197,1022.21,845.94,1027.0901730705248,832.8928236464017,331.2455962918716,-70.0877777315659,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,997.33331298828125,206.66668701171875,1003.0261593474229,233.34295654296875,160.00592041015625,213.34295654296875,1083.029119552501,126.67147827148438,-85.69580656421977,79.995208740234375,-0,8,female01,test,6,27.99,900.23,827.56,903.7454922114613,814.0808971177157,1020.47,827.01,1021.7093898088548,813.1352454831886,123.02911955250102,85.69580656421977,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,758.66668701171875,237.33331298828125,419.7893584287824,233.34295654296875,160.00592041015625,213.34295654296875,499.79231863386053,126.67147827148438,258.8743683778582,110.66183471679688,3.9903564453125,9,male01,test,3,27.99,900.32,847.6800000000001,893.5554148140485,835.5027553501579,1020.56,847.13,1012.3996217596432,835.8404859726127,460.20768136613947,258.8743683778582,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,589.33331298828125,198.66668701171875,137.50828465712482,233.34295654296875,160.00592041015625,213.34295654296875,217.51124486220294,126.67147827148438,371.8220681260783,71.995208740234375,-0,10,female04,test,1,25.16,910.28,808.3399999999999,901.3558157031057,799.5588079035308,1018.34,807.8399999999999,1008.8032474578722,799.7282337958828,742.48875513779706,371.8220681260783,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1414.6666259765625,226.66668701171875,1739.3611379547733,233.34295654296875,160.00592041015625,213.34295654296875,1819.3640981598514,126.67147827148438,-404.69747218328894,99.995208740234375,-0,11,male04,test,10,27.99,900.67,844.52,911.6464911187223,835.943197406924,1020.91,843.97,1031.2725380599056,834.6607194178648,859.3640981598514,404.69747218328894,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1610.6666259765625,248,1569.9567605238606,233.34295654296875,160.00592041015625,213.34295654296875,1649.9597207289387,126.67147827148438,-39.29309475237619,121.32852172851562,14.65704345703125,12,female02,test,9,27.99,900.32,827.9300000000001,910.4927982234069,818.4137467296264,1020.56,827.38,1029.8685589352915,817.0168136874661,689.9597207289387,39.29309475237619,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,734.66668701171875,220,570.4372403754838,233.34295654296875,160.00592041015625,213.34295654296875,650.440200580562,126.67147827148438,84.22648643115679,93.328521728515625,-0,13,male04,test,4,27.99,900.67,844.52,896.0848268958766,831.3662519559985,1020.91,843.97,1014.517681653988,831.5932812844719,309.55979941943804,84.22648643115679,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1441.3333740234375,233.33331298828125,1569.9567605238606,233.34295654296875,160.00592041015625,213.34295654296875,1649.9597207289387,126.67147827148438,-208.6263467055012,106.66183471679688,-0,14,female01,test,9,27.99,900.23,827.56,910.4058731523944,818.0470348688534,1020.47,827.01,1029.782016283234,816.6499202348211,689.9597207289387,208.6263467055012,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,620,205.33331298828125,137.50828465712482,233.34295654296875,160.00592041015625,213.34295654296875,217.51124486220294,126.67147827148438,402.48875513779706,78.661834716796875,-0,15,female04,test,1,25.16,910.28,808.3399999999999,901.3558157031057,799.5588079035308,1018.34,807.8399999999999,1008.8032474578722,799.7282337958828,742.48875513779706,402.48875513779706,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1354.6666259765625,222.66668701171875,1258.1458704286204,233.34295654296875,160.00592041015625,213.34295654296875,1338.1488306336985,126.67147827148438,16.51779534286402,95.995208740234375,-0,16,female02,test,8,27.99,900.32,827.9300000000001,907.6973380441774,816.1139184421374,1020.56,827.38,1026.3105401539058,814.6923608209277,378.1488306336985,-16.51779534286402,3.9069130732375084
H0000001,hai||om,0,0,9,5,1,1026.6666259765625,197.33331298828125,1003.0261593474229,233.34295654296875,160.00592041015625,213.34295654296875,1083.029119552501,126.67147827148438,-56.362493575938515,70.661834716796875,-0,17,female03,test,6,25.57,907.52,809.11,910.6907148527359,796.7811935969994,1017.35,808.6,1018.5704270452602,795.9286363075171,123.02911955250102,56.362493575938515,3.9069130732375084
