subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,1,9,1573.5396410672047,613.5396410672047,-106.87301509064218
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,2,3,529.7132380584449,430.28676194155514,-155.04658156430423
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,3,1,170.55375975643074,789.4462402435693,230.77958374942864
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,4,5,814.6039928109088,145.39600718909116,205.39600718909116
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,5,8,1450.228604798011,490.228604798011,-147.56197882144852
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,6,7,1281.0917823979123,321.0917823979123,-7.758408374474811
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,7,6,1108.5774378747726,148.5774378747726,-164.5774378747726
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,8,4,653.1549030078357,306.84509699216426,158.84509699216426
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,9,2,368.81105705519434,591.1889429448056,409.8556299565244
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,10,8,1450.228604798011,490.228604798011,57.77139520198898
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,11,10,1831.5902001618472,871.5902001618472,-444.9235741852847
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,12,1,170.55375975643074,789.4462402435693,477.44624024356926
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,13,4,653.1549030078357,306.84509699216426,-30.488215996116992
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,14,7,1281.0917823979123,321.0917823979123,133.5748435786502
z20230001,chimfunshi,5,5.242984257357974,f,1,1,3,2,0,15,6,1108.5774378747726,148.5774378747726,-171.24412488649136
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,1,8,1416.372101797191,456.3721017971909,-425.70541478547216
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,2,5,811.0653450120144,148.9346549879856,154.26796797626685
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,3,2,330.55033381015687,629.4496661898431,660.1163532015619
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,4,1,206.4708852109261,753.5291147890739,774.8624277773552
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,5,7,1297.2199346657746,337.21993466577464,-315.8866216774934
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,6,9,1531.0100342820922,571.0100342820922,-533.6767212938109
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,7,6,1010.9955407085494,50.995540708549356,-32.328853696830606
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,8,10,1744.9045967143747,784.9045967143747,-730.237909702656
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,9,4,625.4947789386783,334.50522106132166,421.17184703788416
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,10,6,1010.9955407085494,50.995540708549356,-8.328853696830606
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,11,4,625.4947789386783,334.50522106132166,371.8385340496029
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,12,3,501.8066201335323,458.1933798664677,464.86006687818644
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,13,5,811.0653450120144,148.9346549879856,187.60134199970435
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,14,1,206.4708852109261,753.5291147890739,718.8624277773552
z20230002,chimfunshi,7,7.630390143737166,m,0,0,8,2,1,15,8,1416.372101797191,456.3721017971909,-392.3721017971909
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,1,7,1148.3648970957418,188.36489709574175,-119.03152307230425
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,2,2,302.48927839499987,657.5107216050001,660.1774086167188
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,3,4,669.1282869120441,290.87171308795587,302.87171308795587
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,4,1,229.0924254779425,730.9075745220575,705.5742615337763
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,5,8,1454.0922303330588,494.09223033305875,-487.42554332134
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,6,3,435.6677370576026,524.3322629423974,518.9989499541161
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,7,6,1007.8960194976977,47.896019497697694,-31.896019497697694
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,8,10,1760.3988371878008,800.3988371878008,-795.0655241995196
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,9,5,959.9872150335339,0.012784966466142578,5.346097954747393
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,10,5,959.9872150335339,0.012784966466142578,6.679471978184893
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,11,7,1148.3648970957418,188.36489709574175,-205.698210084023
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,12,4,669.1282869120441,290.87171308795587,305.5384000996746
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,13,1,229.0924254779425,730.9075745220575,737.5742615337763
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,14,8,1454.0922303330588,494.09223033305875,-480.7589173447775
z20230003,chimfunshi,6,6.381930184804928,m,1,0,7,4,0,15,9,1495.6693122882136,535.6693122882136,-527.6693122882136
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,1,7,1140.2873712229048,180.28737122290477,59.71262877709523
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,2,8,1393.489546581778,433.4895465817781,-205.4895465817781
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,3,1,103.16491337653385,856.8350866234662,610.1683996117474
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,4,5,806.4903667952841,153.5096332047159,196.17632021643465
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,5,6,1098.1818707256787,138.18187072567866,-35.515244749116164
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,6,2,295.6663358960989,664.3336641039011,497.6669770921824
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,7,9,1556.1009474546152,596.1009474546152,-284.10094745461515
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,8,3,535.1252449576639,424.8747550423361,236.87475504233612
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,9,10,1681.7955103747133,721.7955103747133,-417.79551037471333
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,10,1,103.16491337653385,856.8350866234662,670.1683996117474
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,11,9,1556.1009474546152,596.1009474546152,-356.10094745461515
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,12,10,1681.7955103747133,721.7955103747133,-345.79551037471333
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,13,5,806.4903667952841,153.5096332047159,197.5096332047159
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,14,7,1140.2873712229048,180.28737122290477,1.046002800532733
z20230004,chimfunshi,7,7.915126625598905,f,0,0,6,4,2,15,8,1393.489546581778,433.4895465817781,-124.15617255834059
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,1,4,634.1862206969947,325.8137793030053,-175.5195642028541
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,2,10,1835.0341027581944,875.0341027581944,-103.03410275819442
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,3,1,199.29039559716136,760.7096044028386,164.70960440283864
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,4,6,999.9491884552555,39.94918845525547,-65.28250144353672
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,5,9,1547.4594418416095,587.4594418416095,128.54055815839047
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,6,8,1369.2474310230298,409.2474310230298,117.41919495353272
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,7,2,346.75117590458234,613.2488240954176,-32.084519410441715
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,8,5,865.386934171363,94.61306582863699,103.94637881691824
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,9,7,1232.6854579291366,272.68545792913665,304.64791609430085
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,10,9,1547.4594418416095,587.4594418416095,139.20718413495297
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,11,6,999.9491884552555,39.94918845525547,56.05081154474453
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,12,7,1232.6854579291366,272.68545792913665,163.31454207086335
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,13,2,346.75117590458234,613.2488240954176,-126.75117590458234
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,14,1,199.29039559716136,760.7096044028386,-53.95706735009105
z20230005,chimfunshi,6,6.633812457221081,f,1,0,8,6,2,15,10,1835.0341027581944,875.0341027581944,-213.70072873475692
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,1,3,598.3297294800284,361.6702705199716,-4.996416491747141
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,2,6,994.2184915068513,34.21849150685125,-24.88517851857
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,3,8,1352.1991155868452,392.1991155868452,103.80088441315479
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,4,1,81.92937144799927,878.0706285520007,415.4039720578601
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,5,4,620.4216155447702,339.57838445522975,-204.42161554477025
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,6,5,921.1315424345302,38.86845756546984,504.20183158890734
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,7,7,1139.7816302862234,179.7816302862234,388.2183697137766
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,8,10,1828.2004707664785,868.2004707664785,-200.20047076647847
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,9,2,386.04103874770146,573.9589612522985,-4.707695241842089
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,10,4,620.4216155447702,339.57838445522975,82.2450714669485
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,11,8,1352.1991155868452,392.1991155868452,147.8008844131548
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,12,7,1139.7816302862234,179.7816302862234,337.5517437372141
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,13,2,386.04103874770146,573.9589612522985,171.2922742405798
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,14,10,1828.2004707664785,868.2004707664785,-225.53384478991597
z20230006,chimfunshi,7,7.575633127994524,f,1,1,6,3,1,15,3,598.3297294800284,361.6702705199716,-16.99641649174714
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,1,2,368.9375162395464,591.0624837604536,-83.60417273368705
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,2,3,552.92925456748,407.07074543251997,-207.59591106162065
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,3,5,893.1028740843853,66.89712591561465,90.89712591561465
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,4,6,1012.7692682211607,52.7692682211607,-40.7692682211607
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,5,8,1316.107166515374,356.10716651537405,289.22620750806345
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,6,7,1192.493315659496,232.49331565949592,343.5066843405041
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,7,10,1773.2316344344472,813.2316344344472,-195.8982604110097
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,8,9,1617.0497500546983,657.0497500546983,66.95024994530172
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,9,4,746.4539355993271,213.5460644006729,-490.4539355993271
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,10,8,1316.107166515374,356.10716651537405,247.89283348462595
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,11,2,368.9375162395464,591.0624837604536,-59.60417273368705
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,12,1,228.64609750779562,731.3539024922044,30.02055898634501
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,13,7,1192.493315659496,232.49331565949592,210.17331031706658
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,14,9,1617.0497500546983,657.0497500546983,-103.71637603126078
z20230007,chimfunshi,7,7.449691991786447,m,1,0,6,4,1,15,4,746.4539355993271,213.5460644006729,221.5460644006729
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,1,3,434.1194639643907,525.8805360356093,1343.2139100590468
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,2,5,861.4294713517043,98.57052864829575,931.9039026717332
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,3,10,1832.2155245870654,872.2155245870654,-21.548898610502874
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,4,4,712.0647361785276,247.9352638214724,1085.2686378449098
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,5,1,143.0203369643137,816.9796630356863,1723.6462890122489
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,6,8,1343.6543951235924,383.6543951235924,479.0122308529701
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,7,7,1306.620707784063,346.6207077840629,541.3792922159371
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,8,9,1524.2550174577336,564.2550174577336,377.07835656570387
z20230008,chimfunshi,6,6.329911019849418,m,1,0,9,5,1,9,6,1021.0296813464153,61.02968134641526,817.6369446301472
