subjid,community,sex,screen,touchscreen,household,children,younger_children,ageinyears,precision
H0000001,hai||om,m,0,0,9,5,1,6.433949349760438,258.9206930821772
H0000002,hai||om,m,0,0,7,4,0,6.078028747433265,776.517850335793
H0000003,hai||om,m,0,1,12,8,2,4.804928131416838,451.96872578583327
H0000004,hai||om,m,0,1,12,8,1,4.706365503080082,506.9252236869845
H0000005,hai||om,f,0,1,12,8,3,6.8172484599589325,705.1194135415709
H0000006,hai||om,f,0,0,6,4,0,3.6084873374401094,480.02724823474404
H0000007,hai||om,m,0,0,6,4,1,6.874743326488707,337.08053017651923
H0000008,hai||om,f,0,0,11,10,1,4.440793976728268,757.5273984238546
H0000009,hai||om,f,0,0,11,10,2,6.97056810403833,641.3877522166182
H0000010,hai||om,m,0,0,7,5,1,4.810403832991102,510.64838255713767
H0000015,hai||om,m,1,0,17,8,2,6.576317590691307,741.0783767732504
H0000016,hai||om,m,1,0,6,4,1,5.418206707734429,447.97418113853075
H0000017,hai||om,m,1,0,17,8,1,4.810403832991102,520.4548398941553
H0000018,hai||om,f,1,0,13,8,2,5.861738535249829,457.2535821128731
H0000019,hai||om,m,1,0,6,3,1,3.564681724845996,449.0444324630314
H0000020,hai||om,m,0,0,5,3,1,6.877481177275839,827.2200641484518
H0000021,hai||om,m,1,0,13,6,3,5.02943189596167,558.7281128949521
H0000022,hai||om,m,1,0,13,6,4,5.059548254620124,462.8501767336042
H0000023,hai||om,f,0,0,6,4,1,5.434633812457221,845.9639377164945
H0000024,hai||om,m,0,0,9,6,1,4.2354551676933605,459.38013961000166
H0000025,hai||om,f,0,0,9,6,2,5.232032854209446,398.93205645892635
H0000026,hai||om,f,0,0,9,6,3,6.910335386721424,455.8466849913686
H0000028,hai||om,m,0,0,13,9,3,6.8199863107460645,160.50234090760662
H0000029,hai||om,f,1,0,11,3,2,5.0978781656399725,496.7942489093601
H0000030,hai||om,f,1,0,21,6,2,7.425051334702259,378.46658552268866
H0000031,hai||om,f,0,0,10,6,3,4.224503764544832,474.36222058036867
H0000032,hai||om,m,0,0,10,6,4,5.308692676249144,730.9378845044002
H0000033,hai||om,f,0,0,7,5,2,6.4722792607802875,462.2640875771144
H0000034,hai||om,m,0,0,4,3,2,2.735112936344969,561.7152455367095
H0000035,hai||om,m,0,0,9,7,1,4.457221081451061,524.4278233481746
H0000036,hai||om,m,0,0,8,5,1,3.405886379192334,429.72927381642523
H0000037,hai||om,f,0,0,7,3,0,3.890485968514716,475.751013515398
H0000038,hai||om,m,1,0,11,9,3,6.590006844626968,338.62330935971715
H0000039,hai||om,m,0,0,6,5,1,7.613963039014374,182.61469956986258
H0000040,hai||om,f,0,0,14,6,3,8.019164955509925,172.14126494298532
H0000041,hai||om,f,0,0,12,10,3,8.008213552361397,437.7372680325084
H0000042,hai||om,m,0,0,6,4,2,7.885010266940451,595.8263514519115
H0000043,hai||om,m,0,0,6,4,2,8.062970568104038,488.6143396870954
H0000044,hai||om,m,1,0,14,6,5,7.83025325119781,936.8535955596911
H0000045,hai||om,m,0,0,12,7,4,7.57015742642026,352.2020274065729
H0000046,hai||om,m,0,0,6,3,2,7.323750855578371,425.53283216109554
H0000047,hai||om,m,0,0,4,3,0,5.27583846680356,838.4570812906089
H0000048,hai||om,m,0,0,12,4,3,7.800136892539356,387.00161162383387
H0000049,hai||om,m,0,0,12,4,2,5.686516084873374,445.327616490532
H0000050,hai||om,f,0,0,5,4,1,6.888432580424367,480.4775889162265
H0000051,hai||om,f,0,0,12,5,4,4.684462696783025,683.4520769316827
H0000052,hai||om,m,0,0,4,3,1,6.784394250513347,891.7449167009536
H0000053,hai||om,m,0,0,9,4,1,5.71937029431896,505.630821891201
H0000054,hai||om,m,0,0,10,6,1,5.333333333333333,873.0032312499605
H0000055,hai||om,f,1,0,10,4,2,6.132785763175907,421.24883729835534
H0000056,hai||om,f,1,0,5,3,2,8.344969199178644,525.1537739093008
H0000059,hai||om,f,0,0,7,4,1,7.613963039014374,440.2609174189903
H0000060,hai||om,f,0,0,10,5,1,5.675564681724846,433.7164131867657
H0000061,hai||om,m,0,0,5,2,1,3.917864476386037,193.2623503453483
H0000062,hai||om,m,0,0,5,3,1,5.070499657768652,836.2008286590553
H0000063,hai||om,m,0,0,5,3,1,3.600273785078713,573.3173919116039
H0000064,hai||om,f,0,0,7,4,0,3.1101984941820673,161.56483200735744
H0000065,hai||om,m,1,0,14,6,2,6.93223819301848,477.74389487152195
H0000066,hai||om,m,1,0,20,6,2,5.404517453798768,232.22528196548612
H0000067,hai||om,m,0,0,5,3,1,7.676933607118412,629.7425000925194
uksch001,plymouth,m,1,1,3,1,0,4.566735112936345,213.91619526420553
uksch002,plymouth,m,1,1,4,2,0,2.7679671457905544,405.8792561336153
uksch003,plymouth,f,1,1,4,2,1,5.478439425051334,269.4419101845958
uksch004,plymouth,f,1,1,2,1,0,7.479808350444901,130.3013592520131
uksch005,plymouth,f,1,1,5,3,1,7.000684462696783,168.2635106747197
