subjid,community,sex,screen,touchscreen,household,children,younger_children,ageinyears,precision
uksch006,plymouth,m,1,1,2,1,0,7.2470910335386725,157.02442356767796
uksch007,plymouth,m,1,1,4,1,0,6.888432580424367,133.59459444008826
uksch008,plymouth,f,0,0,6,4,1,7.29637234770705,110.14992679168124
uksch009,plymouth,f,0,1,5,3,1,6.661190965092403,193.41887330430532
uksch010,plymouth,f,0,1,5,3,2,8.41889117043121,202.83650472462324
uksch012,plymouth,m,1,1,3,1,0,7.624914442162902,134.40656091821208
uksch013,plymouth,m,1,1,4,2,1,5.248459958932238,430.4519607299202
uksch014,plymouth,m,1,1,4,2,0,7.312799452429843,178.6662078049635
uksch015,plymouth,f,1,1,3,2,1,7.482546201232033,100.92410503771039
uksch016,plymouth,m,1,1,3,1,0,8.944558521560575,97.88530327557065
uksch017,plymouth,f,1,1,4,2,1,4.837782340862423,344.24450144539554
uksch019,plymouth,m,1,1,4,2,0,8.073921971252567,129.5970965219137
uksch020,plymouth,m,1,1,3,1,0,5.639972621492129,350.4871697604428
uksch021,plymouth,f,1,1,2,1,0,6.1300479123887746,154.9320075078432
uksch022,plymouth,f,1,1,4,3,0,5.984941820670773,194.49394594109086
uksch023,plymouth,f,1,1,3,2,1,5.278576317590692,245.11066078639715
uksch024,plymouth,m,1,1,3,1,0,8.386036960985626,156.92280617815396
uksch026,plymouth,m,1,1,4,2,1,4.407939767282683,275.25445025263895
uksch027,plymouth,f,1,1,4,2,0,2.379192334017796,592.3129984562806
uksch028,plymouth,f,1,1,4,2,1,5.218343600273785,183.56129681154977
uksch029,plymouth,f,1,1,3,1,0,8.24640657084189,78.747540032516
uksch030,plymouth,f,1,1,4,2,0,8.271047227926077,161.73930917278867
uksch031,plymouth,f,1,1,7,5,0,7.575633127994524,131.41738640290342
uksch032,plymouth,m,1,1,7,5,0,7.879534565366187,213.162338200468
uksch033,plymouth,m,1,1,4,2,0,5.322381930184805,249.2891349964458
uksch034,plymouth,m,1,1,4,2,1,5.555099247091033,210.1796700539557
uksch035,plymouth,f,1,1,5,4,0,6.034223134839151,151.45907020208764
uksch036,plymouth,m,1,1,4,2,1,3.5290896646132786,404.6820248662907
uksch037,plymouth,f,1,1,6,4,0,4.6680355920602326,202.35868470088752
uksch038,plymouth,m,1,1,3,1,0,8.908966461327857,125.81481893033973
uksch039,plymouth,f,1,1,4,2,1,6.1300479123887746,118.72687765266566
uksch040,plymouth,f,1,1,4,2,0,3.813826146475017,228.1722191198816
uksch041,plymouth,f,1,1,4,2,0,8.380561259411362,200.3397350864233
uksch042,plymouth,f,1,1,5,3,0,4.402464065708419,193.53985354371227
uksch043,plymouth,f,1,1,5,3,0,4.402464065708419,336.7689940592057
uksch044,plymouth,m,1,1,2,1,0,4.276522929500342,324.37153179250737
uksch045,plymouth,f,1,1,5,3,2,4.930869267624915,300.6782444956852
uksch046,plymouth,m,1,1,5,3,0,2.976043805612594,311.7725101070548
uksch047,plymouth,f,1,1,5,3,0,2.976043805612594,447.79518521263253
uksch048,plymouth,m,1,1,4,2,1,4.487337440109514,385.9198833947307
uksch049,plymouth,f,1,1,5,3,2,7.868583162217659,111.183050662612
uksch050,plymouth,f,1,1,4,2,0,8.865160848733744,118.61244970714986
uksch051,plymouth,f,1,1,4,2,0,5.9137577002053385,206.80256047926582
uksch052,plymouth,m,1,1,2,1,0,5.5249828884325805,221.98736914963607
uksch053,plymouth,f,1,1,4,2,1,8.306639288158795,230.8678541379891
uksch054,plymouth,m,1,1,3,1,0,8.659822039698836,158.0895167494368
uksch055,plymouth,m,1,1,4,2,0,2.4394250513347022,498.29340910239847
uksch056,plymouth,f,1,1,4,2,0,8.629705681040383,164.46203523039262
uksch058,plymouth,f,1,1,3,2,1,8.276522929500342,149.82495625655102
uksch059,plymouth,m,1,1,3,1,0,8.2217659137577,99.0837819499396
uksch060,plymouth,m,1,1,5,2,0,7.745379876796714,128.50595685508517
uksch061,plymouth,m,1,1,5,2,0,8.2217659137577,132.46165527595122
uksch062,plymouth,f,1,1,3,1,0,3.761806981519507,182.2934960646365
uksch063,plymouth,f,1,1,5,4,1,8.120465434633813,173.4709254505472
uksch064,plymouth,f,1,1,4,2,1,5.01574264202601,160.67709398995203
uksch065,plymouth,m,1,1,4,2,1,5.297741273100616,188.5505014784936
uksch066,plymouth,m,1,1,2,1,0,7.337440109514032,126.30838634107663
uksch067,plymouth,f,1,1,4,2,0,3.6632443531827517,365.2130828742559
uksch068,plymouth,f,1,1,2,1,0,3.3374401095140316,410.3480814861986
uksch069,plymouth,f,1,1,3,1,0,5.0513347022587265,268.5513535993695
uksch071,plymouth,f,1,1,2,1,0,4.602327173169062,243.9715665245872
uksch072,plymouth,f,1,1,4,2,1,5.300479123887748,233.08247753792645
uksch073,plymouth,m,1,1,4,3,2,5.212867898699521,449.0263475194982
uksch074,plymouth,f,1,1,4,3,1,2.891170431211499,469.5920361373798
uksch075,plymouth,m,1,1,4,2,1,3.6276522929500343,459.2258109348697
